"Genes","Rank"
"FGF11",667
"C11orf54",667
"ZNF782",666
"ARPC1B",666
"C2orf16",665
"C7orf31",665
"SERP2",664
"PSMB2",664
"NKAPL",663
"PSTPIP1",663
"FAIM3",662
"AOAH",662
"PCYT1A",661
"C7orf57",661
"KCNJ1",660
"XRN2",660
"RTN4IP1",659
"PAX8",659
"FTO",658
"TP53BP2",658
"ACTN2",657
"AP1S3",657
"MUC4",656
"TNPO3",656
"TMEM116",655
"TMEM246",655
"PHF15",654
"ARCN1",654
"QARS",653
"WDR72",653
"CDX4",652
"AP3D1",652
"TMEM215",651
"CCNA2",651
"GALR1",650
"OSCP1",650
"KRTAP23.1",649
"CCDC101",649
"ZC3H11A",648
"SLAIN2",648
"ZFP112",647
"LINC00324",647
"CCDC19",646
"PIK3C2G",645
"ERCC3",645
"RASGRP1",644
"PPP2CA",644
"FOXN3",643
"SHPK.1",643
"SNORA71C",642
"TSSK4",642
"CCDC64",641
"SLC35B3",641
"GATA5",640
"GGT7",640
"PHACTR1",639
"KANSL3",639
"TNRC4",638
"CCBL1",638
"UNKL",637
"YLPM1",637
"IGF1",636
"FBXL13",636
"ZNF628",635
"C16orf46",635
"SLC41A3",634
"CHRFAM7A",634
"CALB1",633
"GBAP1",633
"HIST1H3B",632
"IFT81",632
"TEAD3",631
"PPA1",631
"SLC2A9",630
"GTF3C3",630
"MAGEA5",629
"ABHD16A",629
"ARL4D",628
"KCND3",628
"APOBEC3F",627
"FBXO4",627
"NYNRIN",626
"ZFYVE21",626
"MIR539",625
"STRIP1",625
"CLDN5",624
"ARNTL",624
"OPN1LW",623
"C14orf178",623
"GFPT2",622
"FOXRED1",622
"HBM",621
"GNL3L",621
"PROCA1",620
"MR1",620
"C11orf17",619
"HOXC4",619
"HOXD11",618
"OCLM",618
"CCL26",617
"CHN2",617
"LYPD5",616
"MFHAS1",616
"RNH1",615
"HEBP1",615
"MRPS27",614
"SLMO1",614
"MCM3AP",613
"NEO1",613
"PPP4C",612
"C17orf67",612
"SOBP",611
"VANGL1",611
"ZNF212",610
"RANGRF",610
"FAM150B",609
"KCNV2",609
"CDC42SE2",608
"UBE2D2",608
"MFGE8",607
"OCEL1",607
"RAB40C",606
"PDGFA",606
"OR10J5",605
"KCTD13",605
"PIM2",604
"TAF12",604
"TP53TG1",603
"SLC29A3",603
"DCAF15",602
"CDC25B",602
"VAMP8",601
"SULT2B1",601
"C9orf173",600
"RHBDF1",600
"FAM173B",599
"MTA3",599
"ZNF816A",598
"CROCCP3",598
"HORMAD2",597
"GJB4",597
"AKAP12",596
"ASPHD2",596
"MDGA2",595
"XIST",595
"FRAT1",594
"LAMTOR2",594
"FABP1",593
"CCDC103",593
"SSBP2",592
"TOPBP1",592
"TCEAL1",591
"ADORA2A",591
